Smiles,pIC50
CC(C)CN1C(=O)N(C)C(=O)C2=C1SC(CC1=CC=NC3=CC=CC=C13)=C2C(=O)N1C[C@H](O)CO1,4.34
COCCCC1=CC(C)=C(C)C(CN(C(=O)[C@H]2CNCC[C@@]23OCC2=CC(F)=C(F)C=C23)C2CC2)=C1,5.46
C=CCN1CC(=O)N2[C@@H](CC3=CC=C(O)C=C3)C(=O)N(CC3=CC=CC4=C3N(C)C=C4C(=O)NC3CCN(C(=O)C4=CC=C(N5CCN(C)CC5)C=C4)CC3)C[C@@H]2N1C(=O)NCC1=CC=CC=C1,5.01
CCC(NC(=O)C1=CC=C(Cl)C=C1)[C@@H]1[C@@H]2C[C@@H](OC3=CC=NC4=CC=C(F)C=C34)C[C@@H]21,5.85
CS(=O)(=O)NC1=CC=CC(CC(=O)NC2=NC(C3=CNC4=NC=CC=C34)=CS2)=C1,5.08
COC1=NC(C2=CSC(NC3=CC(C(C)(C)C)=NN3CC(F)(F)F)=N2)=CC=C1N1C=NC(C)=C1,6.0
CCC1=CC(CC2=CC=C(CC(N)=O)C=C2)=NC(C2=CC=CC(Cl)=C2)=N1,5.23
CC(C)N1N=C(C(=O)NC2C3CN(CC4CCOCC4)CC32)C2=CC=CC=C21,5.04
CCCCC(=O)O[C@@H](C(=O)N1N=CC[C@H]1C(=O)NCC1=CC(Cl)=CC=C1N1C=NN=N1)C1=CC=C(F)C=C1,5.92
CC1=CC2=C(C=C1C)N(CC(=O)N1CCCC(C3=CC=CC=C3)C1CN1CCCC1)C(=O)CO2,5.41
N#CC1=CC(S(=O)(=O)NC2=NC=NS2)=CC=C1OC1=CC=C(Cl)C=C1C1=CNN=C1,6.3
O=C(NC1=CC=C(OC2=CC=C(F)C=C2)C=C1)[C@@H]1C[C@@H](CC2=CC=CC=C2)CN1C(=O)CC1=CNC=N1,5.15
COC1=CC=CC=C1COCCCOC1=CC=C(N2C(=O)CNC[C@@H]2COC2=CC=C3CCCN(CCCO)C3=C2)C=C1,6.34
CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(C6CN(C7COC7)C6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,5.359999999999999
CC1=CC(C2=C3N=C(N[C@@H](C4CC4)C(C)(C)O)C=C(NCC4CCOCC4)N3N=C2)=CC=C1C(=O)NC1CC1,5.52
CCOC(=O)/C=C/C1=CC(O)=C(O)C=C1C1=CC2=CC=CC=C2O1,4.95
CC(C)CCN(C[C@@H](CC1=CC=CC=C1)NC(=O)OCC1=CN=CS1)C[C@@H](CC1=CC=CC=C1)NC(=O)OCC1=NC=CS1,7.3
CC(C)(CCN(C[C@H]1CC2=CC=CC=C2CN1)[C@H]1CCCC2=CC=CN=C21)CNC1CCOCC1,4.75
CNCC(=O)N[C@@H](CC(C)C)C1=CC=CC=C1N1CCN(C(=O)[C@@H](CC2=CC=C(Cl)C=C2Cl)N2CCCC2=O)CC1,5.64
CNC(=O)N(C1=CC=C(S(=O)(=O)NC2=NOC=C2)C=N1)C1=CC(Cl)=C(C2=CC=CC(C(F)(F)F)=C2)C=C1OC,5.3
CC1=NC2=CC=C(C(=O)N(CC(C)C)C[C@@H](O)[C@H](CC3=CC=CC=C3)NC(=O)OCC3=CN=CS3)C=C2O1,7.28
CC(C)(CC(O)(CC1=CC2=CC(N3CCOCC3)=NC=C2N1)C(F)(F)F)C1=CC=CC=C1,7.0
CC1=CC(C2CCN(C)CC2)=CC2=C1N=C(C1=C(NC[C@@H](O)C3=CC=CC(Cl)=C3)C=CNC1=O)N2,4.85
OC1=CC=C(C2=CC=C3C(=C2)CCCC3C2=CC=NC=C2)C=C1F,5.47
CNC1=CC=C(C2=CC=CN=C2)S1,5.2
C=CCN1CC(=O)N2[C@@H](CC3=CC=C(O)C=C3)C(=O)N(CC3=CC=CC4=C3N(C)C=C4C(=O)NNCC(=O)OCC)C[C@@H]2N1C(=O)NCC1=CC=CC=C1,5.21
O=C(O)C1=CC=CC(C2=CC=NC=C2C2=CC(Cl)=CC=C2OCC2=CC=CC=C2)=C1,5.85
C[C@@H](C1=CC=C(Cl)C=C1)N1CC2=CN=CN2C(C[C@H](O)C2=CC=CC=C2)S1(=O)=O,5.72
COC1=CN=C2NC=C(CC3=CC=C(NCC4=CC=CN=C4OC)N=C3F)C2=C1,5.3
CC1=NC2=C(CN(C3=CC=C(C#N)C=C3)C2=O)C(C2=CC=C(Cl)C=C2Cl)=C1CN,6.17
FC1=CC=C(C2(CN3C=NC=N3)COC(C3=CC=C(C4=CC=CC=C4F)C=C3)=N2)C=C1,4.83
O=C(C1=CC=CC(Cl)=C1N1N=CC=N1)N1CCOC[C@H]1CC1=CC(N2N=CC=N2)=CC=C1F,4.52
CC1=C(CC2=CC=CC(NS(N)(=O)=O)=C2F)C(=O)OC2=CC(OC(=O)N(C)C)=C(F)C=C12,4.8
CC1=CC=C(F)C=C1C(C)(C)CC(O)(CC1=CC2=CC(OC(C)C)=NC=C2N1)C(F)(F)F,6.52
NCCN(C(=O)C1=CC=C(Cl)C=C1Cl)C1=CC=C(F)C=C1,7.13
O[C@](CN1C=CC=N1)(C1=CC=C(F)C=C1F)N1C=NC=N1,4.36
CC1=CN(CC2=CC=C(Cl)C=C2Cl)C2=C(/C=C/C(=O)NS(=O)(=O)C3=CC(Cl)=C(Cl)S3)C=C(F)C=C12,5.470000000000001
CNCCC1=CC=C(Cl)C(CN(C(=O)[C@H]2CNCC[C@@H]2C2=CC=C(OCCOC3=C(Cl)C=C(C)C=C3Cl)C=C2)C2CC2)=C1,4.824999999999999
O=C(N[C@H](CC1=CC=C2NC(O)=CC2=C1)C(=O)N1CCC(N2CCCCC2)CC1)N1CCC(N2CC3=CC=CC=C3NC2=O)CC1,4.96
CC(C)N(C)[C@H](C)[C@@H](C1=CC=C2C=C(OCC(C)(C)C(=O)O)C=CC2=C1)N1C=CN=C1,6.4
O=S(=O)(C1=CC=CC(F)=C1)N1C=CC2=C(N3CCNCC3)N=C3C=CC=CC3=C21,4.24
CO[C@]1(C2=CC=C(F)C(F)=C2)CCNC[C@@H]1C1=NOC(C2=CC=CC=C2CCNC(C)=O)=C1Br,4.55
COC1=CC=CC(C2=CN(CC3=C(F)C=CC=C3F)C(=O)N(C[C@H](NCCCC(=O)O)C3=CC=CC=C3)C2=O)=C1F,4.48
COC1=CN=CC(C2=CC=C3CC(=O)CCC3=C2)=C1,5.42
CCCCC(C(=O)COC1=C(F)C(F)=CC(F)=C1F)N1C=C([C@@](C)(NCC2=NC3=CC=NN3C=C2)C(C)C)N=N1,6.5
CC1=CC2=C(F)C(OC3=NC=NN4C=C(OCCC5CCN(C)CC5)C(C)=C34)=CC=C2N1,6.16
CC#CCN1C(N2CCC[C@@H](N)C2)=CC(=O)N(CC2=CC=C3C=C(Br)C=CC3=N2)C1=O,4.1
COC1=CC=CC(OC)=C1[C@@H]1C[C@H](OC)C(=O)N1CC1=CC=C(OC(F)(F)F)C=C1,5.85
C[C@@H](C1=CC=C(C2=CC(=O)N(C(F)F)C=C2)C=C1)N1CC[C@](CC(C)(C)O)(C2=CC=CC=C2)OC1=O,4.54
COC1=CC=CC([C@@H](C)NC(=O)C2=CC=C(C3=CC=NC=C3)C=C2)=C1,7.1
CN1C(C2=CC=C(Cl)C=N2)=C(C2CCCC2)C2=CC=C(C(=O)NC3(C(=O)NC4=CC=C(/C=C/C(=O)O)C=C4)CCCC3)C=C21,4.97
CCOC(=O)/C=C/C1=CC=C(/C=C/C2=CC(O)=C(O)C(O)=C2)C=C1,4.44
CC(=O)N1CCN(C(=O)CC2([C@H]3COC[C@@H](C4CC4)N3S(=O)(=O)C3=CC=C(F)C=C3)CC2)CC1,4.645
CC(C)(O)CC(=O)N1CCC(C2=CC=C(NC(=O)N3CC4=CC=CC=C4C3)C=C2)CC1,4.8
CC1=CC(C2=C3N=C(NC4=CC=CC(F)=C4)N=C(NCC4CCOCC4)N3N=C2)=CC=C1C(=O)NC1CC1,6.33
COC1=CC=CC=C1COCCCOC1=CC=C(N2C(=O)CNC[C@@H]2COC2=CC=C3CCCN(CCN(C)C(C)=O)C3=C2)C=C1,7.75
CN(C)CC1=CC=C(/C=C/C2=C3C=CC([C@@H]4C[C@@]45C(=O)NC4=CC=CC=C45)=CC3=NN2)C=C1,5.15
CC1=CC(N2CCN(CCO)CC2)=CC2=C1N=C(C1=C(NC[C@@H](O)C3=CC=CC(Cl)=C3)C=CNC1=O)N2,5.48
COC1=CC=CC([C@@H](C)NC(=O)C2=CC=C(C3=CC=NC(N)=C3)C=C2)=C1,4.92
CC(C)C[C@H](NCCN(C)C)C1=CC(F)=CC=C1N1CCN(C(=O)[C@@H](CC2=CC=C(Cl)C=C2Cl)N2CCCC2=O)CC1,4.5
COC1=CC=C(C2=NC(C3=CC=C(Cl)C=C3F)C(C(=O)NC3=CC=C4NN=CC4=C3)C(C)=N2)C=C1,5.57
COC1=CC=CC=C1N1CC2=NC(C)=C(CN)C(C3=CC=C(Cl)C=C3Cl)=C2C1=O,5.89
CC1=C(C)N2C=C(N3C=CC=CC3=O)C=C(NCC3=CC=CC=C3)C2=N1,4.67
CC1=CC(C2=CC=C3OCCN4C(OC5=CC=CC(Cl)=C5F)=NN=C4C3=C2)=CC=N1,5.08
CCN1CCN(CC2=CC=C(NC(=O)CNC3=CC=C(C4=CC=C(NC(C)=O)N=C4)C=C3)C=C2C(F)(F)F)CC1,5.5
CC1=NC=CN1C1=CC=C(C2=CN(CC(=O)NC3=CC=CC(Cl)=C3Cl)N=N2)C=C1,4.82
CC1=C(C2=CC=CC=C2)N=C2C=CC(Br)=CC2=C1C(=O)NC(C)CC1=CC=CC=N1,5.7
O=C(NC1=CC=CN=N1)N1CCC(=CC2=CC=CC(OC3=CC=C(C(F)(F)F)C=N3)=C2)CC1,4.52
O=C([C@H]1CNCC[C@@]12OCC1=CC(F)=C(F)C=C12)N(CC1=CC(Cl)=CC=C1Cl)C1CC1,5.8
CC(C)C1=NC(C(=O)NC[C@@H]2[C@H]3CN(CC4CCOCC4)C[C@@H]23)=C2C=CC=CN12,4.38
CC1=CC=C(N2N=CC=N2)C(C(=O)N2CCOC[C@H]2CC2=CC=CC(C3=NC=CS3)=C2)=C1,5.92
CCCCCCCCC1CCC2=CC(CCC(N)(CO)CO)=CC=C2C1,4.98
C[C@@]1(C2=CC(NC(=O)C3=NC=C(Br)C=N3)=CC=C2F)CO[C@@](C)(C(F)(F)F)C(=N)N1,5.1
CC1=CN(C2=CC(NC(=O)C3=CC=C(C)C(NC4=NC=CC(C5=CC=CN=C5)=N4)=C3)=CC(C(F)(F)F)=C2)C=N1,6.24
FC1=CC(C(CC2CNC2)OC2=CC=CC=C2F)=CC=C1Cl,6.15
CC1=NC=C2CN=C(C3=CC=CC=C3F)C3=CC(Cl)=CC=C3N21,6.493333333333333
C(=C/CN(C[C@H]1CC2=CC=CC=C2CN1)[C@H]1CCCC2=CC=CN=C21)\CNCC1=CC=NC=C1,6.46
CC1=CC=C(C(=O)N2CCOC[C@H]2CC2=CC=CC(N3N=CC=N3)=C2)C(N2N=CC=N2)=C1,4.51
FC1=CC=C(C2=CC=C3C(C4=CC=NC=C4)=CCCC3=C2)C=C1F,5.44
CC1=CC(Cl)=CC(N2C=NC3=CC(C)=C(C4=CC(F)=CC(C(N)=O)=C4)C=C3C2C(=O)N(C)C[C@@H]2CCCN2)=C1,6.0
CCOC(=O)C1=C2N=C3CNCC(=O)C3C(C3=CC=C(SC4=NC5=CC=CC=C5N4)O3)C2=CN1,6.77
CCN(CC1=CC=CN=C1)C1=CN=CC(C2=NC3=CC=CC=C3S2)=C1,6.1
CC[C@@H]1CCC[C@H](C2(CC(=O)N3CCN4CCCC[C@H]4C3)CC2)N1S(=O)(=O)C1=CC=C(Cl)C=C1,5.38
C1=CN(CC2=CC=C3CC4=C(NN=C4C4=CSC=C4)C3=C2)C=N1,6.59
NC(=O)C1=CC=C2CC[C@@H]([C@H]3C4=CC=CC=C4C4=CN=CN43)[C@H](O)C2=C1,5.44
C[C@@H](OC1=C(C(N)=O)SC(N2C=NC3=CC(C4=CC=NC(N5CCNCC5)=C4)=CC=C32)=C1)C1=CC=CC=C1Cl,5.54
CN(C)CC(=O)N1CCC(OC2=CC=C(C3=C4C=C(C(=O)NC(C5=CC=CC=C5)C5CC5)C=CC4=NN3)C=C2)CC1,6.0
OC1=CC=C2C=CC(C3=CN=CC4=CC=CC=C34)=C(Cl)C2=C1,5.76
C[C@@H](NC(=O)C1=CC=C(F)C=C1)C1=CC=C2C(=N1)CCCN2C(=O)C1=CC=CC(Cl)=C1,4.7
CCC[C@H]1N(C(=O)C2=C(C(F)(F)F)C=CN=C2OCCN(C)C)CCC[C@@]1(OC1=CSC(C(F)(F)F)=C1)C(=O)N1CCN(C2=CC=CC=C2OCCO)CC1,5.2
O=C1CC(C2=CC=CC(N3C=CN=C3)=C2)=NC2=CC(O)=C(C3=CC=CC=C3F)C=C2N1,9.0
CC1=CC=C(C(=O)N2CCOC[C@H]2CC2=CC(C3=CC=CN=N3)=CC=C2F)C(N2N=CC=N2)=C1,4.72
CN1C(C2=CC=CC=N2)=C(C2CCCC2)C2=CC=C(C(=O)NC3(C(=O)NC4=CC=C(/C=C/C(=O)O)C=C4)CCCC3)C=C21,5.2
CCOC(=O)N1CC/C(=C/C#CC2=CC=CC(C)=N2)C1,5.01
CN1C(SC2=CC=C(C(O)=NO)C=C2)=NN=C1C1=CC=CS1,4.58
OC(CN1C=NN=C1)(C1=CC=C(F)C=C1F)C(F)(F)C1=CN=C2C=C(Cl)C=CC2=N1,4.35
COC[C@H](C)N1CC2=NC(C)=C(CN)C(C3=CC=C(Cl)C=C3Cl)=C2C1=O,4.89
CCC1=CC=CC(C2=C(Cl)C=CC=C2C(O)(CCCNC(=O)OC)[C@@H]2CCCN(C(=O)[C@H]3C[C@@H](N)[C@@H](O)C3)C2)=C1,6.6
O=C1NC2=CC=CC=C2/C1=C/C1=CC2=NNC=C2C=C1,5.0
COC1=CC=CC=C1C1C2=C(NN=C2C(C)(C)C)C(=O)N1C1=CC=C(C2=NC=CS2)C=C1,4.89
CC1=CC=CC(N2CNC(=O)C23CCN(C[C@H](C)NC(=O)C2=CC=C(Br)C=C2)CC3)=C1,5.17
CC(C)C1=C2C(NC3=CC(C(=O)NC4CC4)=C(F)C=C3F)=NC=NN2C=C1C1=NN=C(N2CCC(N)CC2)O1,6.52
COC1=CC=C2NC(SCC3=CC=CC(C4=CC=CC=C4)=C3)=NC2=C1,5.73
COC1=CC2=C(NC3=CC=CC4=CC=CN=C34)C(C(N)=O)=CN=C2C=C1C1=C(C)ON=C1C,5.41
CC1=CC(N2CCOCC2)=CC2=C1N=C(C1=C(NCCN3C=C(Cl)C=N3)C=CNC1=O)N2,5.68
CN1C(=O)[C@@H]2CN(C3=NC=C(F)C=N3)C[C@]2(C2=CC(C3=CC(F)=CC(C#N)=C3)=CS2)N=C1N,5.8
CC(C)C1=CC=C(COC2=CC=C(N(CCN)C(=O)C3=CC=CN=C3C(F)(F)F)C=C2)C=C1,6.84
CC(C)C[C@H](NC(=O)CCN)C1=CC(C(F)(F)F)=CC=C1N1CCN(C(=O)[C@@H](CC2=CC=C(Cl)C=C2Cl)N2CCCC2=O)CC1,5.27
O=S(=O)(NC1=NC=CS1)C1=CC(Cl)=C(NC[C@H]2CCCNC2)C=C1F,4.7
CC(C)C1=CC(CC(NC(=O)N2CCC(N3CC4=CC=CC=C4NC3=O)CC2)C(=O)N2CCC(N3CCCCC3)CC2)=CC2=CNN=C12,6.43
CN1C2=NC=CC(C(N)=O)=C2C2=NC(CN3CCOCC3)=NC(N3CCN(CCC4=CC=C(F)C(F)=C4)CC3)=C21,4.47
NC1=CC(CC2=NN(CC3=CC=CC(O[C@H]4CCNC4)=C3)C=C2)=C2NN=NC2=N1,4.89
CN1C(=O)[C@@H]2CN(C3=CC=C(F)C=N3)C[C@]2(C2=CC(C3=CC=CC(C#N)=C3)=CS2)N=C1N,5.205
C=CCN1CC(=O)N2C(CC3=CC=C(O)C=C3)C(=O)N(CC3=CC=CC4=C3N(C)C=C4C(=O)NC3=CC=C(N4CCN(C5CC5)CC4)N=C3)CC2N1C(=O)NCC1=CC=CC=C1,5.16
ClC1=CC=C(CN(C2CCCCC2)C2CNC2)C=C1,6.09
CCN(CC)CCN(CC1=CC=C(C2=CC=C(Cl)C=C2)C=C1)C(=O)CN1C=C(CC2=CN(C)N=C2)C(=O)N=C1SCC1=CC=C(F)C=C1,5.3
CN1C(C2=CN=CC=N2)=C(C2CCCC2)C2=CC=C(C(=O)NC3(C(=O)NC4=CC=C(/C=C/C(=O)O)C=C4)CCC3)C=C21,4.97
COC1=NC=C(F)C(N2CC3=CN(C4=CC=CC(S(C)(=O)=O)=C4)N=C3[C@H]2C(C)C)=N1,4.81
CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)NC1=CC2=C(NC[C@H]3CC[C@H](CNC4=NC=NC5=CC(OC)=C(NC(=O)[C@@H]6CCCN6C(=O)[C@@H](NC(=O)[C@H](C)NC)C(C)(C)C)C=C45)CC3)N=CN=C2C=C1OC)C(C)(C)C,6.34
COC1=CC=C(C(=O)N2CCC3=CC=CC=C32)C=C1CSC1=NC2=CC(F)=CC=C2N1CC(=O)O,5.095
CNC[C@H]1CC2=CC=CC=C2[C@H](C2=CC=C(Cl)C(Cl)=C2)C1,4.7
COC1=CC2=C(C=C1O)C1=CC3=CC=C(OC)C(OC)=C3C=[N+]1CC2,4.51
CCN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OCC1=CN=CS1)C(=O)C1=CC=C2N=C(N(C)CC)OC2=C1,7.1
CC1=CC=C2C(OCCN3CCN(CC4=CC=C5OCC(=O)N(CC6=CC=CC=C6)C5=C4)CC3)=CC=CC2=N1,4.92
O=C(NC1=CC=CC=C1)NC1=CC=C(C2=CC=NC3=C2N=CN3)C=C1,5.92
CC(C)[C@@H]1COC[C@H](C2(OC(=O)N3CCNCC3)CC2)N1S(=O)(=O)C1=CC=C(Cl)C=C1,9.52
CCN1N=C(C(C)(C)C)C=C1NC1=NC(C2=CC=C(N3C=NC(C)=C3)C(F)=C2)=CS1,4.8
NC1=CC(CN2CCC(C(=O)N3CCC(N4C(=O)N(CCN5CCOCC5)C5=CC=CC=C54)CC3)CC2)=CC=N1,4.52
C[C@H](C(=O)NC1=CC=C(Cl)C=C1)[C@H]1CC[C@]2(CC1)COC1=CC(C(F)(F)F)=CC=C12,5.51
O=C(C[C@@H]1CC2=CC(Cl)=C3NN=CC3=C2CN(CC(F)(F)F)C1=O)N1CCC(N2CCC3=CC=CC=C3NC2=O)CC1,7.0
O[C@@](CN1C=NN=N1)(C1=CC=C(F)C=C1F)C(F)(F)C1=CC=C(C2=CC=C(OCC(F)(F)F)C=C2)C=N1,4.19
O=C1O[C@@H](CN2C=CN=N2)CN1C1=CC=C(C2=CC3=NC=CN3C=C2)C(F)=C1,4.82
O=C(NC(CC1=CC=C2NN=CC2=C1)C(=O)N1CCC(N2CCCCC2)CC1)N1CCC(N2C(=O)NC3=CC=CC=C32)CC1,4.77
CC1=CC=C(C(=O)N2CCOC[C@H]2CC2=CC=CC(C3=NOC=N3)=C2)C(N2N=CC=N2)=C1,4.48
CC1=CC=C(N2CCN(C(=O)[C@@H](CC3=CC=C(Cl)C=C3Cl)N3CCCC3=O)CC2)C([C@@H](N)CC(C)C)=C1,5.72
N[C@H]1CC[C@](CCOC2=CC(F)=C(S(=O)(=O)NC3=NC=NS3)C=C2F)(C2=CC=CC=C2)CC1,6.37
O=C(/C=C/C1=CC=CN=C1)C1=CC=CC(Cl)=C1,4.9
NC1=CC(F)=C(S(=O)(=O)N2CCC(O)CC2)C=C1C(=O)NC1=CC=C(F)C(C(F)F)=C1,4.68
C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=COC(=O)C=C3)CC[C@]12O,5.65
CN[C@@H](C)C(=O)N[C@@H]1C(=O)N(CC2=C(OC)C=CC3=CC(Br)=CC=C23)C2=CC=CC=C2N(C(=O)CS(C)(=O)=O)[C@H]1C,5.32
CC[C@]1(C)C[C@@H](OC(=O)CSC2=NNC(N)=N2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,6.62
O=C1NCCC12CCN(C1=C(Cl)C=NC=C1C1=CC=C(N3CCOCC3)C=C1)CC2,5.68
CNCCOC1=CC=CC=C1C(C)(C)NC1=NC=CN(C2=CC(C(=O)NC3CC3)=CC=C2C)C1=O,5.3
CC(=O)O[C@@H]1[C@@H](O)[C@H](C)O[C@@H](OC2=C(C3=CC=C(O)C=C3)OC3=CC(O)=CC(O)=C3C2=O)[C@@H]1OC(C)=O,4.25
C1=CC=C(N2C=CN=C2)C=C1,5.140000000000001
COCCOC1=CC=CC=C1N1CCN(C(=O)[C@]2(OC3=CC=C(C(F)(F)F)C=C3)CCCN(C(=O)C3=CN=CC=C3C(F)(F)F)[C@@H]2CC(O)CO)CC1,5.12
CC1=CC=C(C(=O)N2C[C@@H](C)OC[C@H]2CC2=CC=CC(N3N=CC=N3)=C2)C(N2N=CC=N2)=C1C,5.02
CC(C)(C)OC(=O)N[C@H](CC1=CC=CC=C1C(F)(F)F)C(=O)NCC1=NC2=CC=CN=C2N1CC1CC1,5.61
FC1=CC=C(C2=CC=C3C(=C2)CCC3C2=CC=NC=C2)C=C1,5.96
CCN1N=C2CCCC2=C1NC1=NC(C2=CC=C(N3C=NC(C)=C3)C(OC)=N2)=CS1,4.7
NC1=CC=C([C@@H]2C[C@H]2C(=O)NC2=CC=C(S(=O)(=O)C3=CC=CC=C3)C=C2)C=N1,5.58
O=S(=O)(NC1=CC=C(N2C=CN=C2)C=C1)C1=CC(Cl)=CC(Cl)=C1,7.0
CNC(=O)C1=C(C2=CC=C(F)C=C2)OC2=CC=C(C3=CC(C(=O)NC4(C5=CC=CC=N5)CC4)=CC=C3C)C=C12,5.39
CN[C@@H](C)C(=O)N[C@H]1CN(C(=O)C2=CC=C(C(C)=O)C=C2)C2=CC=CC=C2N(CC2=C(OC)C=CC3=CC(Br)=CC=C23)C1=O,5.75
CNC1=NC2=CC=CC=C2N1C1=NC2=C(OC[C@@H]3COCCN23)C(C(C)(C)S(C)(=O)=O)=N1,4.41
O=CN1CCC(OC2=CC=C(C3=C4C=C(C(=O)NC(C5=CC=CC=N5)C5CC5)C=CC4=NN3)C=C2)CC1,5.82
N#CC1=CN=C2C(Cl)=CC(NCC3=CC=CC=[N+]3[O-])=CC2=C1NC1=CC=C(F)C(Cl)=C1,4.75
CC#CCN1C(N2CCC[C@@H](N)C2)=CC(=O)N(CC2=CC=C3C=CC(Cl)=CC3=N2)C1=O,4.34
COCCCC1=CC(CN(C(=O)[C@H]2CNCC[C@@]23OCC2=CC=CC=C23)C2CC2)=CC(OCCOC)=C1,5.22
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H]3[C@H]2O/C(=N\CCCN(C)C)N3C)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,5.63
N#CC1=CC=CC(C(=O)N2CCC(C3=CC=C(C(=O)N=C(N)N)C=C3C(F)(F)F)CC2)=C1,4.66
NS(=O)(=O)NCCNC1=NON=C1/C(=N/O)NC1=CC=C(F)C(Br)=C1,4.55
COC1=CC=CC(F)=C1C1C[C@@H](O)C(=O)N1CC1=CC=C2OC3=CC=CC=C3C2=C1,4.34
NC(=O)[C@]12CC3CC(C1)[C@@H](OC(=O)N1CC[C@@H](NC4=NC=CC=C4C(F)(F)F)C1)C(C3)C2,5.48
O=C(NC1=CC=C(C2=NNN=N2)C=C1F)[C@H](C1CCCCC1)N1C(C2=CC=C(Cl)C=C2)=NC2=CC(F)=C(F)C=C21,5.11
COCCOC(=O)C1=C(C)N=C(C)C(C(=O)OC(C)C)C1C1=CC=CC([N+](=O)[O-])=C1,5.75
N=C(N)NC(=O)C1=CC=C(C2CCN(C(=O)C3=CC=C(F)C=C3)CC2)C(C(F)(F)F)=C1,5.22
O=C(O)C1=CC(F)=C2N=C(N3CCC4(C=C(C5=C(C6CC6)ON=C5C5=C(Cl)C=CC=C5Cl)C4)CC3)SC2=C1,6.05
COC1=CC2=CC=C(C(O)(C3=CN=CS3)C(C)C)C=C2C=C1OC,6.11
ON=C(O)C1=CC=C(CN2N=NN=C2C2=CC=CS2)C=C1,4.32
CC(C)N1CCC(OC2=CC=C(/C=C/C3=C4C=CC([C@@H]5C[C@@]56C(=O)NC5=CC=CC=C56)=CC4=NN3)C=C2)CC1,5.8
N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H](N)CC1=CC2=C(C=C1Br)OCO2,5.66
O=C(O)CC1CCC2(CCN(C3=CC=C(C4=NC5=CC(C(F)(F)F)=CC=C5N4)C=N3)CC2)OC1,4.795
COC1=CC=CC(C2=CC=C(C(CN3CCOCC3)N(C)C(=O)CN3C(=O)COC4=CC(Cl)=C(Cl)C=C43)C=C2)=C1,6.0
CC1(C)CCC(C)(C)C2=CC(C3(C4=CC=C(CCC(=O)O)C=C4)SCCS3)=CC=C21,5.12
CC(C)C(O)(C1=CC=C2C3=C(C=CC2=C1)C(=O)NC3)C1=CNC=N1,5.15
O=C(C1=CC=CC=C1N1N=CC=N1)N1CCOC[C@H]1CC1=CC=CC(C2=CC=CN=N2)=C1,5.02
NC(C(=O)N1CCN(C2=CC=C3NN=CC3=C2)CC1)C1=CC=C(Cl)C=C1,6.28
O=C(/C=C/C1=CC=CN=C1)C1=CC=CC(Br)=C1,4.85
CCC1=NC(N)=NC(N)=C1C1=CC=C2OC(C)(C3=CC(F)=CC(F)=C3)C(=O)N(CCNS(C)(=O)=O)C2=C1,5.66
COC[C@@H](OC1=CC(C[C@@H]2C[S@@+]([O-])C[C@H](NCC3=CC(C(C)(C)C)=CC=N3)[C@H]2O)=CC(F)=C1N)C(F)(F)F,5.8
CC[C@@H]1CCC[C@H](C2(CC(=O)N3CCCCC3)CC2)N1S(=O)(=O)C1=CC=C(Cl)C=C1,5.58
O=S(=O)(NC1=NC=C(F)S1)C1=CC(Cl)=C(NC[C@H]2NCCC=C2C2=CC=C(F)C=C2)C=C1F,4.43
COC(=O)NS(=O)(=O)C1=C(C2=CC=CC(C(=O)CN3C=CN=C3C(C)(C)C)=C2)C=C(CC(C)C)S1,4.3
O=C1C=CC2=C(O)C3=C(C=C2O1)OC=C3,4.6
CCOC(=O)C1=C2N=C3CCCC(=O)C3C(C3=CC=C(SC4=NC5=C(F)C=C(F)C=C5N4)O3)C2=CN1,6.0
CC1=NN(C2=CC=C(C(=O)N3CCC(F)(F)/C(=C\C(=O)NCC4=CC=CC=N4)C4=CC=CC=C43)C(Cl)=C2)C=C1,4.96
COC1=NC(C2=CSC(NC3=CC(C(C)(C)C)=NN3C(C)C)=N2)=CC=C1N1C=NC(C)=C1,5.64
O=C(NC1=CC=C(Cl)C=C1)NC1=CC=C(C2=CC=NC3=C2N=CN3)C=C1,6.51
N#CC1=CC=C(O[C@H]2CN(S(=O)(=O)C3=CC=C(Cl)C=N3)C[C@@]2(O)CN)C=C1F,4.92
O=C(CCCCCCC(=O)NC1=CC=CC=C1)NOC(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,5.25
